# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1           X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2           X_IMAGE_2    Y_IMAGE_2    XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  40         244.2255971980601    -22.938170487123294   974.00354    830.0042     974.0033853740107    830.0043482271482    974.0949434116483    830.0437379032373    158.15239     15.755346      13.18499         19.722507         18.18461     20.68873      0.09053862      1.3594524        0.4077506       0         74              39         244.225328900317     -22.93817788702585    973.99146    830.0033     973.9867388524748    830.0032044703808    973.3715890645981    830.7877656817436    164.21013     0.09744672     15.038582        9.514129          18.138       26.204582     0.09945732      106.0307         0.4092254       0         16              0.8898952937119662    
  43         244.29084968882142   -22.939635968788107   195.9966     823.30725    197.07877082513195   823.5583446491742    196.35268431901932   823.542052090168     162.91974     325.89444      26.878204        162.86742         18.152367    17.399609     0.17916632      0.5427341        2.9080646       0         34              40         244.29097287955145   -22.93952048169083    191.44394    825.1589     191.73922868009691   824.4502085327521    191.63568007946014   824.8347047269344    439.16922     745.825        53.32444         222.20435         17.069921    16.494907     0.13186339      0.323553         4.349363        0         35              0.5827976454098017    
  44         244.23288596268713   -22.939269901529475   886.90576    817.1634     886.8264789772039    817.0264507258033    886.8456225097179    817.0342484638095    999.9115      956.6653       60.20366         60.261047         16.182396    16.2304       0.06538696      0.06840794       4.2430005       0         59              41         244.23293655813382   -22.939289256692575   883.0992     817.092      883.1573693482081    816.9123263701823    883.1594229191542    816.9246806651354    2784.679      2746.324       79.0719          96.274704         15.064563    15.079621     0.030837337     0.038070645      5.203577        0         37              0.18163593593551616   
  46         244.23068550053048   -22.9397901341818     913.0242     810.01215    913.0168497331407    810.0119455002987    913.4572924375534    810.2479770481586    280.23773     35.96395       13.987312        19.230846         17.563484    19.792631     0.05420477      0.580712         0.41664237      0         53              43         244.23041722309128   -22.93980037494937    913.0144     809.9918     913.0111383702194    809.9920427930732    913.2229272425175    809.9318660497665    279.16837     41.765686      15.706279        37.78704          17.561834    19.62445      0.061099395     0.98254645       0.41179594      0         29              0.8901822448392919    
  47         244.24005868428807   -22.940313836258216   801.20374    805.0142     798.8933205643295    804.7060494261199    799.1673148870468    804.6264259815216    418.88132     531.5955       45.59131         153.11424         17.127073    16.868347     0.11820093      0.31279808       4.6344566       2         39              42         244.24023281139486   -22.940368050405336   795.9261     804.5376     795.8761509147563    804.526894426527     795.9183463975787    804.5664256513119    1935.0208     1731.8755      99.62368         95.08542          15.459786    15.580209     0.055912226     0.05962482       6.076643        0         54              0.6093800850760047    
  48         244.28391690998825   -22.942183225086453   278.11002    789.0537     278.0706518554411    788.9214417797883    278.06006890535355   788.9558117426932    32325.83      32248.396      100.38995        115.444214        12.408426    12.41103      0.0033726431    0.0038877102     4.3453565       0         40              44         244.28389643447153   -22.942211838475547   275.22104    788.9985     274.4247097836777    788.964470896008     274.4618589282036    788.9899351047352    89679.72      87635.164      168.51154        211.57329         11.2947645   11.319804     0.0020406344    0.0026218765     5.587566        0         44              0.12336344476020288   
  49         244.27760752648595   -22.942253028265075   353.29224    786.9756     353.33068337023263   786.935329009531     353.32014909386635   786.9398104958236    2912.774      2891.8064      53.31833         55.939884         15.021534    15.029378     0.019879231     0.021007877      3.8976386       0         42              48         244.2776268773471    -22.942266051994636   349.92157    787.1118     349.98986428944295   787.1038326223918    349.97748063877225   787.1015425622463    11385.376     11303.095      91.943985        94.73108          13.535632    13.543507     0.008770125     0.009101751      5.253561        0         32              0.07945943530177842   
  50         244.29592577264947   -22.942128042654353   134.99718    791.99493    134.99723562136356   791.9965522659164    134.82890611886978   792.087475053966     186.17145     32.154903      13.373383        165.39836         18.007519    19.914183     0.07801139      5.586166         0.4041035       0         45              50         244.2956615448248    -22.942151277072323   135.03336    791.99744    135.0346927055314    791.9978678689547    135.67706805467606   792.8489695191383    218.55237     216.72894      15.357829        655.2268          17.827612    17.836708     0.07631399      3.2832546        0.42675114      0         24              0.8799620329278705    
  51         244.22393713993344   -22.94099749340989    993.2032     793.10095    993.2252328021661    793.3013454907006    993.1646179407835    793.3039996623993    486.11484     469.3381       42.50061         44.443058         16.965454    17.003586     0.09494806      0.10283665       3.513599        0         40              47         244.22393209713252   -22.94103051531029    990.0372     792.81964    990.2464483290561    792.9769790093927    990.2430825531483    793.0097186267376    1621.8579     1558.4756      66.29516         67.160805         15.651468    15.694751     0.044391397     0.046799984      4.8979387       0         50              0.12004864712395592   
  52         244.23361197549104   -22.940501347764723   877.9987     801.3642     878.0153412977069    800.190599957597     877.9504688642919    801.222723826766     207.46384     3.0985487      12.164799        24.661278         17.889944    22.454405     0.06367843      8.643449         0.39029348      0         11              46         244.23334437344772   -22.94050885748304    877.98395    801.3889     878.0116764637993    799.9391876093448    876.4360285997391    802.4754217863083    195.74377     14.798248      12.891006        252.74493         17.94728     20.750975     0.071520194     18.548208        0.34861335      0         21              0.8875865386134565    
