Name|Sp|Vmag|B-V|Mv|_RA.icrs|_DE.icrs
Gl 732.1|G9 IVa      |  5.50| 0.84| 3.59|18 51 35.4|+52 58 30
NN 4087 |K1 V        |  8.11| 0.88| 6.17|18 55 18.3|-37 29 55
Wo 9637 |K3 IIIa:    |  4.99| 1.33| 3.00|18 55 07.3|-22 40 15
Gl 734  |dM0         |  9.44| 1.36| 8.41|18 54 54.6|+10 58 28
Gl 734  |            | 12.30|     |11.30|18 54 54.6|+10 58 28
Gl 735  |dM3  e      | 10.11| 1.53| 9.85|18 55 27.6|+08 24 09
Gl 736  |G8 V        |  8.03| 0.90| 6.15|18 55 41.0|+04 15 57
Gl 737  |K7 V        |  9.45| 1.42| 8.77|18 57 30.8|-55 59 26
Gl 737  |K5 V        | 10.00|     | 9.32|18 57 30.8|-55 59 26
Wo 9638 |K2          |  8.09| 0.91| 6.15|18 55 53.0|+23 33 25
NN 4088 |m           | 11.20|     | 9.61|18 57 09.8|+07 34 26
Gl 738  |F9 V        |  5.34| 0.59| 4.10|18 57 01.5|+32 54 07
Gl 738  |K1 V        |  7.70|     | 6.50|18 57 01.5|+32 54 07
NN 4090 |dM0         | 10.44| 1.38| 8.56|18 56 16.0|+54 31 51
NN 4091 |m           | 12.04| 1.56|10.16|18 56 18.1|+54 29 51
Gl 739  |M3          | 11.15| 1.46|10.85|18 59 07.2|-48 16 29
Gl 740  |M2 V        |  9.22| 1.46| 9.10|18 58 00.4|+05 54 28
Wo 9639 |G2 V        |  6.79| 0.58| 4.51|18 58 51.4|+30 10 50
NN 4092 |M2          | 10.86| 1.42| 9.03|18 59 39.0|+07 59 10
Gl 740.1|dG5         |  8.43| 0.73| 7.10|19 02 44.5|-00 42 41
Gl 741  |M4  :       | 14.85| 1.56|13.48|19 03 16.5|-13 34 06
Gl 742  |DXP5        | 13.20| 0.05|12.57|19 00 10.3|+70 39 54
Wo 9641 |K0 III      |  3.77| 1.01| 1.90|19 04 40.8|-21 44 30
NN 4093 |m           | 12.54|     |10.66|19 02 27.5|+70 25 41
NN 4094 |M0          | 10.60| 1.42| 8.60|19 03 17.3|+63 59 32
Gl 743  |G9          |  8.55| 0.81| 5.79|19 05 07.3|+23 04 36
Gl 743.1|F8 V        |  4.87| 0.52| 4.03|19 06 24.7|-37 03 46
Gl 743.1|F8 V        |  5.00|     | 4.16|19 06 24.7|-37 03 46
NN 4095 |A0 Vn       |  2.99| 0.01| 1.00|19 05 24.0|+13 52 02
Gl 743.2|dK2         |  7.22| 1.03| 3.73|19 05 20.5|+25 55 17
Gl 744  |G5 IV       |  6.15| 0.71| 5.08|19 06 52.8|-37 48 37
Wo 9643 |K1 III      |  3.32| 1.19| 1.50|19 06 56.3|-27 40 12
Gl 745  |sdM2        | 10.76| 1.58|11.01|19 07 05.7|+20 53 16
Gl 745  |sdM2        | 10.75| 1.58|11.00|19 07 12.7|+20 52 34
NN 4096 |K1 V        |  7.88| 0.86| 6.05|19 08 50.5|-42 25 41
NN 4097 |K0 V        |  7.82|     | 5.78|19 08 31.5|-30 58 21
Gl 746  |G5 V        |  6.07| 0.70| 4.94|19 07 57.7|+16 51 09
Gl 747  |M3.5 J      | 11.86| 1.70|12.30|19 07 42.9|+32 32 42
Gl 747  |M5   K      | 12.16|     |12.60|19 07 42.9|+32 32 42
GJ 1231 |m           | 15.16| 1.91|13.98|19 08 16.1|+26 35 01
Gl 747.1|M3          | 12.02| 1.50|10.38|19 09 20.4|-14 44 57
NN 4098 |m           | 11.80|     |11.34|19 08 29.6|+32 16 46
Gl 747.2|dK6         |  9.43| 1.24| 7.74|19 08 54.3|+34 03 44
Gl 747.3|K7 V        |  9.36| 1.32| 8.21|19 10 52.5|-47 09 34
NN 4099 |M0          | 11.33| 1.53|10.03|19 09 20.8|+39 12 25
GJ 1232 |k-m         | 13.52| 1.85|13.38|19 09 51.6|+17 40 01
NN 4100 |g           | 12.18| 1.50|10.20|19 10 38.6|+01 32 13
NN 4101 |dK8         |  9.72| 1.10| 7.31|19 04 54.9|+79 45 21
Gl 747.4|k-m         | 11.31| 1.45| 9.97|19 12 25.2|-55 52 06
NN 4102 |M3.5        | 12.70|     |11.70|19 20 02.9|-82 33 28
NN 4103 |m           | 10.48|     | 8.89|19 11 10.3|+32 39 54
NN 4104 |M3          | 12.70|     |11.30|19 12 59.5|-39 02 12
Gl 748  |dM4         | 11.10| 1.51|11.09|19 12 14.4|+02 53 17
NN 4105 |m           | 12.01| 1.56|10.83|19 12 29.3|+35 33 49
Wo 9648 |G6 V        |  6.57| 0.65| 4.76|19 12 05.3|+49 51 21
Wo 9648 |G6 V        |  6.75| 0.65| 4.94|19 12 04.6|+49 51 15
Gl 748.1|F2 V        |  5.13| 0.31| 3.50|19 09 09.7|+76 33 38
GJ 1233 |G8 V        |  7.04| 0.79| 5.70|19 12 10.8|+57 40 17
Gl 748.2|K4          | 10.20| 1.19| 8.51|19 14 58.6|+02 09 54
Gl 748.2|k-m         | 11.17| 1.36| 9.48|19 14 58.6|+02 09 54
Wo 9652 |M3          | 11.55|     | 9.95|19 14 39.5|+19 19 01
Wo 9652 |M3.5        | 13.27|     |11.67|19 14 39.5|+19 18 19
Gl 750  |K9 V J      | 10.12| 1.42| 9.42|19 16 43.1|-45 53 23
Gl 750  |            | 10.10|     | 9.40|19 16 43.1|-45 53 23
Gl 751  |dM0         |  9.72| 1.35| 8.26|19 15 19.3|+24 53 47
Gl 752  |M3.5Ve      |  9.11| 1.50|10.35|19 16 55.1|+05 10 06
Gl 752  |dM5  e      | 17.52| 2.20|18.76|19 16 58.2|+05 09 00
NN 4106 |M2          | 10.82| 1.58|10.44|19 19 47.9|-53 42 31
Gl 754  |M4.5        | 12.23| 1.68|13.45|19 20 48.1|-45 33 27
GJ 1234 |DC7         | 14.57| 0.44|14.23|19 18 58.4|+38 43 22
Gl 754.2|G8 V        |  6.31| 0.68| 5.20|19 19 38.7|+37 19 53
Gl 754.1|DQ5         | 12.28| 0.06|12.25|19 20 35.1|-07 40 06
Gl 754.1|dM5         | 12.12| 1.63|12.09|19 20 33.1|-07 39 48
Gl 755  |G5 V        |  6.48| 0.62| 4.89|19 21 30.2|-34 58 58
NN 4107 |F0 IV       |  3.93| 0.23| 1.89|19 21 40.0|-17 50 51
Gl 755.1|DA5         | 13.01| 0.06|11.54|19 21 40.4|+14 40 34
GJ 1235 |k-m         | 13.38| 1.71|13.34|19 21 38.6|+20 52 01
GJ 1236 |m           | 12.35| 1.69|12.16|19 22 02.6|+07 02 39
Gl 756  |M1          | 11.53| 1.41| 9.78|19 21 51.9|+28 39 59
Gl 756.1|K5 V        |  8.40| 1.04| 6.57|19 25 09.8|-66 28 12
NN 4108 |m           | 15.37| 1.82|13.76|19 22 40.6|+29 25 50
Gl 757  |K4          | 10.92| 1.41| 9.30|19 24 34.4|-22 03 45
Gl 758  |K0 V        |  6.37| 0.81| 5.14|19 23 34.2|+33 13 20
Gl 759  |G8 IV       |  5.16| 0.77| 4.20|19 24 58.1|+11 56 42
Gl 760  |F0 IV       |  3.36| 0.32| 2.66|19 25 30.3|+03 06 52
NN 4109 |M3.5        | 12.48| 1.56|11.60|19 25 08.9|+28 21 18
NN 4110 |m           | 13.09|     |11.87|19 26 51.4|+16 42 56
GJ 1237 |K3 V        |  8.01| 0.93| 6.42|19 26 25.6|+49 27 54
GJ 1238 |m+          | 15.37| 1.94|15.16|19 24 18.1|+75 33 14
NN 4111 |K7          | 10.71| 1.41| 9.10|19 29 05.0|+07 09 38
Wo 9657 |K3 III      |  5.52| 1.12| 2.10|19 29 52.5|-26 59 09
Wo 9657 |            |  8.69| 0.86| 5.30|19 29 52.5|-26 59 09
Gl 761.1|G7 IV       |  6.96| 0.71| 5.38|19 29 21.7|+31 36 33
Wo 9659 |G0          |  7.29| 0.64| 4.88|19 30 52.5|-06 30 51
GJ 1239 |K5 V        |  8.71| 1.11| 7.20|19 32 30.6|-35 27 07
GJ 1240 |K2 V        |  7.57| 0.92| 6.35|19 32 06.9|-11 16 33
Gl 761.2|dM0.5       | 10.43| 1.45| 8.68|19 32 38.0|+00 34 43
NN 4112 |M4          | 12.80| 1.55|10.76|19 33 59.9|-52 25 41
Gl 762  |m+          | 12.17| 1.48|11.07|19 34 41.2|-62 50 38
Gl 762.1|K1 V        |  6.59| 0.87| 5.02|19 31 07.8|+58 35 07
Wo 9661 |K3 IIIb     |  4.45| 1.17| 2.77|19 34 05.6|+07 22 45
NN 4113 |M2.5        | 11.70|     |10.59|19 33 40.2|+39 31 32
Gl 763  |dM0.5       |  9.36| 1.39| 8.70|19 34 39.7|+04 34 58
Gl 764  |K0 V        |  4.68| 0.79| 5.93|19 32 21.9|+69 39 43
NN 4114 |dM1         | 10.38| 1.46| 8.79|19 35 05.6|+08 27 37
NN 4115 |            | 12.52| 1.52|10.93|19 35 05.6|+08 27 37
NN 4116 |F7 V        |  5.73| 0.48| 3.79|19 34 19.7|+51 14 11
NN 4117 |M3          | 12.20| 1.64|11.00|19 34 54.5|+53 15 24
Gl 764.1|K2 V        |  8.58| 1.01| 7.18|19 36 46.2|-10 26 34
Gl 764.1|K7          | 10.20|     | 8.80|19 36 46.2|-10 26 34
Gl 764.2|F7 V        |  5.47| 0.50| 3.96|19 37 34.0|-14 18 07
Gl 765  |F4 V        |  4.48| 0.38| 3.14|19 36 26.5|+50 13 18
Gl 765  |            | 13.00|     |11.70|19 36 26.5|+50 13 18
GJ 1241 |DAV5        | 12.98| 0.17|11.71|19 37 13.3|+27 43 14
NN 4118 |G5          |  7.47|     | 5.53|19 37 59.6|+33 53 36
Wo 9664 |G5 V        |  7.48| 0.71| 5.26|19 42 33.9|-59 00 34
Wo 9664 |            |  8.70|     | 6.50|19 42 33.9|-59 00 34
NN 4119 |M1          | 10.01| 1.34| 8.55|19 42 53.3|-45 04 52
GJ 1242 |m           | 12.88| 1.60|11.03|19 41 53.6|+03 09 13
NN 4120 |M0.5        | 10.96| 1.48| 9.37|19 39 33.5|+71 52 12
Gl 765.1|G2 V        |  5.96| 0.64| 4.13|19 41 48.8|+50 31 31
Gl 765.1|G5 V        |  6.20| 0.66| 4.37|19 41 51.9|+50 31 00
Gl 765.2|dK0         |  8.08| 0.88| 6.09|19 39 06.4|+76 25 22
Wo 9666 |F5 IV       |  5.49| 0.46| 3.70|19 43 33.1|-15 28 15
NN 4121 |m           | 13.90|     |12.00|19 47 15.0|-71 05 24
Gl 765.3|F8          |  6.23| 0.55| 4.35|19 43 14.4|+58 01 00
Gl 765.4|K3 V        |  8.35| 0.99| 6.56|19 45 33.1|+33 36 06
Gl 765.4|K3 V        |  8.54|     | 6.75|19 45 33.1|+33 36 06
Gl 766  |dM4.5 J     | 12.91| 1.72|12.75|19 45 46.0|+27 07 33
Gl 766  |            | 13.40|     |13.20|19 45 46.0|+27 07 33
NN 4122 |M0          | 10.86|     | 9.68|19 45 49.5|+32 23 15
Gl 767  |M0.5        | 10.15| 1.48| 9.50|19 46 24.3|+32 00 58
Gl 767  |M2  :       | 11.10| 1.52|10.45|19 46 24.3|+32 00 58
Gl 767.1|F5 IV-V     |  4.99| 0.47| 3.23|19 46 26.0|+33 43 39
Gl 767.1|dK6         |  8.56| 1.04| 6.80|19 46 28.0|+33 43 51
NN 4123 |k           | 15.21| 1.72|13.20|19 49 37.5|+08 12 25
NN 4124 |M3          | 12.41| 1.62|11.25|19 50 02.8|+32 35 04
NN 4125 |m           | 12.88|     |11.00|19 50 16.8|+31 46 56
Gl 768  |A7 IV-V     |  0.77| 0.22| 2.29|19 50 47.4|+08 52 06
Gl 768.1|F8 V        |  5.11| 0.55| 3.96|19 51 01.8|+10 24 59
Gl 768.1|M3          | 13.10|     |11.95|19 51 01.8|+10 24 59
GJ 1243 |m           | 12.83| 1.64|12.45|19 51 09.3|+46 28 56
NN 4126 |G0 V        |  6.13| 0.65| 4.67|19 52 03.5|+11 37 41
Gl 769  |M3          | 12.53| 1.56|10.50|19 54 00.4|-47 48 38
GJ 1244 |K5 V        |  8.45| 1.06| 6.90|19 56 16.3|-72 21 49
Gl 770  |K3/4 V      |  6.17| 1.02| 5.45|19 54 17.5|-23 56 27
NN 4127 |m           | 11.63|     | 9.94|19 53 33.0|+34 08 29
NN 4128 |m           | 12.43|     |10.49|19 54 03.1|+32 33 50
GJ 1245 |M5.5 V e    | 13.41| 1.90|15.04|19 53 54.3|+44 24 55
GJ 1245 |m           | 14.01| 1.98|15.64|19 53 55.3|+44 24 55
Wo 9672 |K3          |  9.40| 0.99| 6.79|19 55 01.7|+04 03 45
Gl 771  |G8 IV       |  3.72| 0.86| 3.07|19 55 18.4|+06 24 23
Gl 771  |M3          | 11.40|     |10.80|19 55 18.4|+06 24 23
GJ 1246 |K4 V        |  8.43| 0.98| 6.74|19 56 37.2|-31 20 09
Gl 772  |DA6         | 13.70| 0.28|13.38|19 56 29.5|-01 02 31
Wo 9674 |M2          | 12.00|     |10.30|19 55 53.5|+51 16 27
Gl 773  |K4 V        |  9.30| 1.33| 7.68|19 57 19.6|-12 34 02
Gl 773  |m           | 15.36|     |13.74|19 57 23.6|-12 33 50
GJ 1247 |K3 V        |  8.60| 1.08| 6.82|19 58 32.8|-54 56 17
Gl 773.2|K0 Ve       |  7.90| 0.80| 5.80|19 57 13.7|+29 49 25
Wo 9677 |dM0  p      |  9.96| 1.22| 7.97|19 56 32.6|+59 09 43
Wo 9677 |m           | 13.50| 1.48|11.51|19 56 23.6|+59 09 18
NN 4129 |k           | 11.95| 1.55|10.95|19 58 15.7|+02 02 05
Gl 773.3|G0 V        |  5.88| 0.58| 3.92|19 59 47.1|-09 57 29
Gl 773.4|F8 V        |  5.66| 0.49| 4.22|20 00 20.1|-33 42 16
NN 4130 |G5          |  7.67|     | 6.25|20 00 43.6|+22 42 44
Gl 773.6|K5 V        |  8.66| 1.12| 7.20|20 02 34.9|-50 03 07
Gl 774  |m           | 11.35| 1.48|10.71|20 04 02.1|-65 35 57
Gl 774  |m           | 12.82| 1.56|12.18|20 04 02.1|-65 35 57
Gl 775.1|G8 V        |  7.16| 0.71| 5.43|20 02 34.2|+15 35 34
Gl 775  |K4 V        |  7.46| 1.14| 6.70|20 02 47.2|+03 19 33
Gl 776  |G2 V        |  6.08| 0.65| 4.70|20 05 32.9|-67 19 14
Gl 776.1|K4 :        | 12.15| 1.40| 8.96|20 04 11.0|-45 39 11
NN 4131 |m           | 14.50|     |13.00|20 04 06.7|-31 41 49
NN 4132 |k-m         | 13.40|     |12.30|20 03 59.4|-08 07 48
GJ 1248 |k-m         | 12.09| 1.60|11.58|20 03 50.2|+05 59 46
Gl 777  |G8 IV-V     |  5.71| 0.73| 4.59|20 03 37.5|+29 53 46
Gl 777  |M4  :       | 14.37| 1.67|13.25|20 03 26.5|+29 51 58
Gl 778  |K1 V        |  7.26| 0.82| 5.96|20 03 52.4|+23 20 29
Gl 779  |G1 V        |  5.80| 0.61| 4.70|20 04 05.8|+17 04 12
Gl 779.1|K3 V        |  7.88| 0.91| 6.42|20 04 09.9|+25 47 25
NN 4133 |DC9         | 16.87| 1.04|15.66|20 05 34.6|-10 56 52
NN 4134 |dK0         |  7.72| 0.94| 6.38|20 04 07.0|+54 27 58
GJ 1249 |G5 IV       |  6.17| 0.65| 4.38|20 05 09.5|+38 28 42
Gl 780  |G8 V        |  3.56| 0.76| 4.78|20 08 43.2|-66 10 54
Gl 781  |dM3  e      | 11.99| 1.54|10.88|20 05 02.4|+54 26 06
NN 4135 |m           | 13.16|     |11.86|20 05 44.3|+52 58 14
Gl 781.1|M3          | 12.25| 1.55|10.78|20 07 48.3|-31 45 29
Gl 781.1|M3.5        | 12.50| 1.63|11.03|20 07 45.3|-31 45 11
NN 4136 |k-m         | 13.55| 1.62|12.00|20 07 57.4|-01 32 39
GJ 1250 |m           | 14.88| 1.82|13.23|20 08 18.8|+33 18 07
Gl 781.2|K3/4 V      |  9.76| 1.15| 7.54|20 09 36.7|-14 17 11
Gl 781.3|DA6         | 14.44| 0.19|13.30|20 10 17.9|-21 46 44
Gl 782  |K4 Vp       |  8.92| 1.29| 7.92|20 10 19.4|-20 29 36
GJ 2147 |DA4         | 12.18| 0.07|11.67|20 10 56.4|-30 13 10
NN 4137 |m           | 14.98|     |13.25|20 10 55.6|-25 35 09
Gl 783  |K3 V        |  5.32| 0.87| 6.56|20 11 11.9|-36 06 03
Gl 783  |M3.5        | 11.50|     |12.70|20 11 11.9|-36 06 03
Gl 783.2|K1 V        |  7.33| 0.85| 5.87|20 11 06.1|+16 11 18
Gl 783.2|dM          | 13.94| 1.62|12.48|20 11 13.1|+16 11 06
NN 4138 |G8 V        |  7.95| 0.86| 6.01|20 11 25.5|+38 24 00
NN 4139 |F7 V        |  5.85| 0.48| 3.81|20 12 26.1|-12 37 01
Gl 784  |M0 V        |  7.97| 1.43| 9.04|20 13 53.0|-45 09 50
Gl 784.2|dM5         | 13.19| 1.54|11.43|20 13 58.5|+06 41 09
Gl 784.2|DA7         | 15.72| 0.37|13.96|20 13 55.5|+06 42 39
NN 4140 |K7 V        | 10.20| 1.34| 8.37|20 14 28.0|-07 16 52
Gl 785  |K0 V        |  5.73| 0.88| 5.91|20 15 17.0|-27 01 57
Gl 786  |dM0         |  8.88| 1.33| 7.79|20 10 52.7|+77 14 18
NN 4141 |K1 V        |  7.77| 0.86| 6.13|20 15 57.3|-39 29 27
Gl 786.1|dM0  p      |  9.97| 1.34| 7.67|20 15 53.2|+42 58 44
NN 4142 |dK8         |  9.72| 1.14| 7.31|20 16 55.7|+06 55 20
Gl 787  |K5 V        |  8.72| 1.16| 7.70|20 19 37.0|-46 25 44
NN 4143 |m           | 11.79|     |10.61|20 18 48.9|+15 50 23
Gl 788  |G5 V        |  5.93| 0.58| 5.24|20 17 31.2|+66 51 16
NN 4144 |m           | 12.92|     |11.19|20 19 39.4|+08 00 21
NN 4145 |M0          | 10.20| 1.41| 8.94|20 21 10.4|-51 47 23
Wo 9691 |G2 IV-V     |  6.27| 0.55| 4.46|20 21 41.4|-49 59 56
Gl 788.1|m           | 10.59| 1.46| 9.14|20 22 42.3|-58 17 04
GJ 1251 |M4.5        | 13.82| 1.74|12.67|20 28 05.6|-76 41 05
GJ 1252 |m           | 12.23| 1.45|10.35|20 27 43.6|-56 26 47
Gl 790  |G5 V        |  6.61| 0.73| 5.36|20 27 43.9|-30 52 05
Gl 791  |M3          | 11.41| 1.52|10.91|20 27 41.4|-27 44 53
NN 4146 |m           | 12.27|     |10.44|20 26 55.9|+27 31 04
GJ 1253 |M5          | 14.04| 1.79|14.20|20 26 05.7|+58 34 22
Gl 791.1|F2 IV       |  4.78| 0.38| 3.36|20 28 52.0|-17 48 48
Gl 791.1|            | 10.00|     | 8.60|20 28 52.0|-17 48 48
Gl 791.2|dM6  e      | 13.05| 1.65|13.34|20 29 48.1|+09 41 23
Wo 9697 |dM1         | 10.28| 1.34| 7.55|20 30 10.5|+26 50 36
Wo 9697 |            | 10.70|     | 8.00|20 30 10.4|+26 50 36
Gl 791.3|dK8         |  9.23| 1.13| 7.19|20 31 32.1|+33 46 30
Gl 792  |M4          | 13.48| 1.76|12.59|20 31 26.7|+38 33 41
Gl 793  |dM3         | 10.56| 1.56|10.96|20 30 31.9|+65 27 01
Gl 793.1|G9 V        |  7.09| 0.79| 5.63|20 32 52.0|+41 53 52
NN 4147 |F6 V        |  6.13| 0.54| 4.09|20 34 11.9|-13 43 19
NN 4148 |m           | 12.93|     |11.20|20 33 43.2|+23 22 11
NN 4149 |m           | 12.00| 1.43|10.49|20 34 42.6|+03 20 44
Gl 794  |DA3         | 11.52|-0.07|10.73|20 34 22.0|+25 03 54
GJ 1254 |m           | 12.52| 1.52|11.50|20 33 40.3|+61 45 06
NN 4150 |m           | 13.08|     |11.25|20 34 00.2|+64 19 10
NN 4151 |m           | 13.43|     |11.97|20 34 55.5|+59 17 29
Gl 794.1|K0 III      |  3.11| 1.00| 1.40|20 37 34.5|-47 17 26
NN 4152 |m           | 13.35|     |11.80|20 36 46.8|+38 50 28
NN 4153 |M2          | 11.44| 1.50| 9.61|20 37 20.8|+21 56 47
Gl 794.2|F8 V        |  5.12| 0.53| 3.82|20 40 02.5|-60 32 57
Gl 794.3|G2 V        |  6.75| 0.62| 4.76|20 38 40.6|+38 38 08
Gl 795  |K4 V        |  8.18| 1.22| 7.19|20 39 37.3|+04 58 19
Gl 795  |K8 V        |  9.40|     | 8.40|20 39 37.3|+04 58 19
Gl 796  |G8 V        |  6.36| 0.72| 5.59|20 40 11.3|-23 46 27
GJ 1255 |G8 V        |  7.80| 0.70| 6.05|20 51 44.5|+74 46 46
GJ 1255 |K0 V        |  8.00| 0.86| 6.00|20 37 21.6|+75 36 04
GJ 1255 |            | 10.40|     | 8.40|20 37 21.6|+75 36 04
NN 4154 |m           | 11.50|     |11.00|20 46 45.4|-81 43 22
GJ 1256 |dM4-5       | 13.43| 1.72|13.46|20 40 34.2|+15 29 57
NN 4155 |M0  e       | 11.94| 1.51|10.16|20 40 56.0|-10 06 47
Gl 797  |G5 V        |  6.45| 0.63| 4.94|20 40 44.7|+19 56 10
Gl 797  |m           | 11.88| 1.55|10.37|20 40 44.8|+19 54 04
Gl 798  |K7 V        |  8.82| 1.31| 8.39|20 42 18.4|-52 41 56
Gl 799  |dM4.5e      | 10.99| 1.57|11.44|20 41 51.5|-32 26 07
Gl 799  |dM4.5e      | 11.00|     |11.40|20 41 51.5|-32 26 07
GJ 1257 |K5 V        |  9.70| 1.11| 8.17|20 41 42.2|-22 19 06
GJ 2149 |DA3         | 13.40| 0.10|11.40|20 44 18.2|-68 05 18
Gl 799.1|DA3         | 12.38|-0.08|10.49|20 42 34.7|-20 04 34
Gl 800  |dM2         | 10.84| 1.43| 9.98|20 42 57.6|-18 55 07
Gl 800  |            | 14.00|     |13.10|20 42 57.6|-18 55 07
NN 4156 |K7          | 10.29| 1.36| 8.41|20 41 26.8|+57 25 31
NN 4157 |G5 V        |  6.95| 0.67| 5.12|20 43 16.4|-29 25 26
NN 4158 |A7 III-IV   |  4.51| 0.27| 2.90|20 44 02.7|-51 55 17
NN 4159 |K0          | 11.47| 1.48|10.00|20 43 41.2|-00 10 43
Gl 802  |dM5  e      | 14.68| 1.79|13.69|20 43 18.9|+55 21 06
Gl 803  |M0 Ve       |  8.81| 1.42| 8.95|20 45 09.7|-31 20 27
NN 4160 |k-m         | 11.27|     | 9.85|20 44 31.6|+08 54 03
NN 4161 |m           | 12.54|     |11.12|20 44 30.6|+08 54 15
Gl 804  |dM1.5e      | 10.31| 1.45| 8.75|20 44 21.8|+19 44 57
NN 4162 |m           | 13.40|     |11.80|20 45 45.1|-29 27 29
Gl 805  |F5 V        |  4.13| 0.43| 3.56|20 46 05.5|-25 16 14
Gl 806  |dM3         | 10.77| 1.53|10.43|20 45 04.4|+44 29 54
Wo 9706 |F8 IV-V     |  4.51| 0.54| 2.72|20 45 21.5|+57 34 48
Gl 806.1|K0- III     |  2.45| 1.03| 1.03|20 46 12.5|+33 58 12
Gl 806.1|M4          | 13.40| 1.66|11.98|20 46 06.5|+33 58 05
Gl 807  |K0 IVe      |  3.43| 0.92| 2.84|20 45 16.9|+61 50 17
Gl 808  |M2.5        | 11.85| 1.50|10.89|20 51 41.9|-79 18 38
Gl 808.1|F1 IV       |  5.10| 0.35| 3.57|20 48 29.0|-43 59 16
NN 4163 |m           | 13.38| 1.54|11.87|20 48 52.5|+19 43 06
NN 4164 |M3.5        | 13.06| 1.53|11.50|20 49 39.3|-00 21 11
NN 4165 |DA4         | 12.93| 0.14|11.63|20 49 06.6|+37 28 13
Gl 808.2|K5 V        |  8.41| 1.06| 7.03|20 50 10.1|+29 23 06
NN 4166 |DC9         | 15.58| 0.95|14.07|20 50 20.7|+26 30 35
NN 4167 |K5          |  9.74| 1.32| 8.10|20 50 32.4|+52 54 03
NN 4168 |G7 III CN   |  4.58| 0.83| 2.60|20 52 07.5|+27 05 47
NN 4169 |m           | 13.97| 1.73|13.26|20 53 33.1|+10 37 01
NN 4170 |M3          | 11.70| 1.54| 9.87|20 52 00.0|+69 10 07
Gl 809  |M2 Ve       |  8.55| 1.48| 9.18|20 53 20.0|+62 09 17
GJ 1259 |K3 V        |  8.81| 1.05| 6.98|20 55 06.4|+13 10 37
Gl 810  |M3.5 J      | 12.45| 1.59|11.94|20 55 38.8|-14 02 04
Gl 810  |            | 14.55| 1.72|14.04|20 55 37.9|-14 03 52
Gl 811  |F8 V        |  5.70| 0.50| 3.97|20 56 47.1|-26 17 47
Gl 811.1|dM4         | 11.47| 1.51|10.22|20 56 46.6|-10 26 59
Gl 812  |M3          | 11.91| 1.51|10.92|20 56 47.6|-04 50 49
Gl 812  |DC9+        | 16.60| 1.16|15.61|20 56 46.6|-04 50 37
Gl 812.1|G0 V        |  6.53| 0.58| 5.02|20 57 40.2|-44 07 42
NN 4171 |A2          |  9.00|     | 7.10|20 56 52.2|+42 55 47
Gl 813  |M3          | 12.01| 1.61|11.42|20 57 25.9|+22 21 52
NN 4172 |K0 V        |  7.35| 0.84| 5.93|20 59 29.0|-33 37 01
NN 4173 |M2          | 11.06| 1.46| 9.18|20 58 42.6|+34 16 22
NN 4174 |K5          |  8.00| 1.67| 6.20|20 59 13.9|+37 55 48
Wo 9713 |K4          | 12.30|     |10.50|21 00 53.5|-42 01 37
Gl 815  |dM3  eJ     | 10.34| 1.52| 9.44|21 00 05.7|+40 04 14
Gl 815  |            | 11.90|     |11.00|21 00 05.7|+40 04 14
Wo 9714 |K5 V        |  9.40| 1.24| 7.81|21 01 39.7|-32 31 27
NN 4175 |m           | 14.10|     |12.10|21 01 24.7|+20 43 36
NN 4176 |m           | 12.29|     |11.14|21 01 17.3|+33 14 30
NN 4177 |m           | 13.12|     |11.97|21 01 21.3|+33 14 25
Gl 816  |M2.5        | 11.23| 1.49|10.75|21 01 58.4|-06 19 09
Wo 9716 |M4          | 12.85| 1.65|11.88|21 03 14.2|-56 57 07
NN 4178 |m           | 13.10|     |11.90|21 03 15.3|-50 22 50
Gl 816.1|K25 V       |  7.68| 0.97| 5.98|21 02 40.5|+45 53 07
Gl 816.1|            | 13.00|     |11.30|21 02 40.5|+45 53 07
Gl 816.2|A5 V        |  5.10| 0.17| 3.70|21 04 24.6|-19 51 16
Gl 816.2|            |  6.50|     | 5.10|21 04 24.6|-19 51 16
Gl 817  |M2          | 11.46| 1.47|10.26|21 04 53.6|-16 57 30
Gl 818  |K6 V        |  8.30| 1.22| 7.14|21 05 19.4|+07 04 09
NN 4179 |K7          | 10.33| 1.42| 8.69|21 05 44.0|-16 54 46
NN 4180 |m           | 12.18| 1.49|10.35|21 05 56.8|+04 25 43
Gl 818.1|G3 IV  J    |  6.40| 0.59| 4.50|21 09 22.4|-73 10 25
Gl 818.1|            |  6.40|     | 4.50|21 09 22.4|-73 10 25
Gl 818.1|            | 13.50|     |11.60|21 09 22.4|-73 10 25
Gl 819  |K1 Ve       |  7.15| 0.90| 6.32|21 07 10.6|-13 55 19
Gl 819  |M0          | 10.20|     | 9.40|21 07 10.6|-13 55 19
Gl 820  |K5 Ve       |  5.21| 1.18| 7.51|21 06 54.6|+38 44 46
Gl 820  |K7 Ve       |  6.03| 1.37| 8.33|21 06 54.6|+38 44 46
Gl 820.1|DA6         | 13.56| 0.25|12.37|21 13 07.0|-81 49 01
Wo 9720 |A0 V        |  5.30| 0.00| 3.60|21 08 33.7|-21 11 35
NN 4181 |dK8         |  9.88| 1.16| 7.41|21 08 01.3|+25 10 32
Wo 9721 |dM2         |  9.44| 1.13| 7.69|21 08 45.2|-04 25 36
Wo 9721 |            | 13.40| 1.63|11.65|21 08 45.2|-04 25 36
Gl 821  |M3          | 10.87| 1.50|10.68|21 09 17.1|-13 18 08
